"file.name","peak.number","Valine Fragment","Glycine","TMAO","Lysine Fragment","Alanine","Unknown 1","Choline","Serine","Creatinine","Proline","Valine","Betaine","Threonine","Unknown 2","Hydroxyproline","Creatine","Isoleucine","Leucine","Asparagine","Ornithine","Aspartic Acid","Hypoxanthine","Betaine Adduct","Proline Betaine","Deoxycarnitine","Glutamine","Lysine","Glutamic Acid","Histidine","Aminooctanoic Acid","Me-Lys","Carnitine","Phenylalanine","Methylhistidine","Arginine","Citrulline","Tyrosine","ADMA","SDMA","Acetylcarnitine","Tryptophan","Propionylcarnitine","Cystine","Unknown 3","CysGly-CySS"
"",12,"321069.486933514",634789.251742127,"<LOD","144299.399652805",670457.527422086,"32647.3800705702",605761.212899368,633593.738171445,721886.131400338,1354621.73405374,"1526798.12952144","2138239.42397063",1074422.6720712,"<LOD","410483.047381341",333589.415878526,823542.844041855,1500572.94052161,"777105.313657378","725492.819736952","222494.122076616","53505.7935379386","106555.842809298","19014.810576397","66993.9687820814",2591371.44498834,1642099.94684434,167510.411196192,787218.793273351,"59172.6119708191",40480.8452954309,765716.345239168,1027022.63655521,52242.7829136041,648726.482796143,165998.921269368,1222416.20427976,"31570.5188854294","23380.7993313361",297866.900716572,84881.9706714179,"69727.8010612259",370832.423418446,"8128.99134581541","99696.6311078639"
"",13,"473867.266401076",846018.924136853,"<LOD","186651.21947311",856469.22788373,"51345.7336511647",608920.872430788,869501.884965828,879779.298278632,2100113.28600899,"Impute","2333189.31942897",1734207.56431954,"96862.2396950137","692072.056530471",463994.550881555,1315376.33070318,2263363.55302668,"977116.001233986","915810.764624817","287611.245417596","53080.8111434723","115206.359316629","20460.4415712382","75121.487300032",3326874.72078208,2009919.92867139,443626.166401846,859771.326013548,"95077.0116255211",55219.6459026312,1079053.11539194,1385964.99436533,91229.8117833164,664824.390041622,288534.360411708,1627717.29944434,"96939.0538080671","34877.0479638935",504961.595156606,191372.656585354,"37948.0033005678",422503.086872659,"29846.7852167875","154885.323713796"
"20230202_110_121",1,"904845.371425148",564520.223658905,"<LOD","162763.810298224",1332545.16704483,"98544.9042549579",633791.706144759,530760.514924734,756050.516919965,2083445.63657445,"4596520.17710776","1792167.05509573",801720.793732656,"92601.030361701","Impute",363231.98151485,1251773.55392751,3821739.90801924,"717796.697310218","332672.611673764","215655.905313188","95312.5730580882","182222.31246906","68879.7549996106","56451.5605398357",5036754.74944432,1242984.70223412,475869.027867352,1137606.2535081,"61446.7640807572",94503.4007537249,1033360.55372435,2261294.21129455,55255.6873299432,720581.3917923,235203.100789982,1463517.5260765,"10547.2725679936","22912.995024174",113860.824462288,151349.626019106,"10549.3424646433",376199.049558837,"57439.2167193318","139145.860909559"
"",2,"674989.302431666",753754.428840935,"33660.4542333178","<LOD",1485212.74551669,"114760.134606194",575408.901918403,542213.202648859,1079310.50315283,1935989.08627628,"3466862.20160091","2046146.96363583",996079.797732098,"152700.957180139","Impute",568232.992762592,1257510.68500797,2920651.49401542,"627528.804017114","416429.932215119","188002.228353555","91960.6399070987","176993.567622852","99458.8240360965","44838.7664861342",4969377.10640428,1327161.7609786,513956.73781977,790957.794497053,"64753.0808271256",84988.4233518342,1140559.89697662,1709475.85956533,110930.546688611,1007678.40773068,192506.065815685,1361486.90035221,"11033.1248419585","<LOD",114496.272305621,140761.958198986,"24291.228198043",513367.79783679,"95509.0057779278","133548.617808837"
"",3,"949026.008409603",645305.097863708,"<LOD","218213.287386733",2042953.28919059,"110109.115299384",780950.190582207,663035.699146204,883093.728741378,3073573.6375884,"4657546.70291278","2498142.98406697",1259450.5007464,"152668.699893829","199777.1930306",976267.50493895,2581543.02009017,4952037.76582565,"912804.122097397","981447.057955377","254638.125569795","107678.485385841","199467.177131181","258972.16730054","33726.8314636259",6607744.28381495,2396758.26301685,336939.38692613,888100.159339471,"45260.1611778238",102625.783134473,1297436.22271717,2467696.92233874,132712.150596825,1302969.5624465,179797.514839,1728737.04123039,"19044.0959343015","15929.4420680445",109792.517978776,193978.234373914,"29759.7833904789",733658.12961168,"65189.0263750063","213525.173150031"
"",4,"720946.521995245",677823.994993788,"<LOD","931398.984343797",2136605.73996072,"88700.1996612304",621813.795151693,636658.970493912,945263.194316332,2959091.71626889,"3343122.97070743","2623506.0779756",1019408.51813515,"165012.469581756","287081.870696583",824492.715708114,1903427.06159816,3916799.21348188,"739564.277737536","845533.813753339","212165.016056175","86567.8221628401","170459.374717284","215231.017979693","31672.878134857",6412923.87061316,2217266.50920172,385331.729136004,760267.514422343,"41440.625812814",98738.0726061233,1419362.05837664,1912110.55964332,74376.0582498809,1079356.08782667,190359.600801625,1518942.61023515,"22119.8519755828","12886.6755001021",115973.10524787,164734.339307734,"21527.5010282356",699911.579898387,"69838.9637596207","163785.291645134"
"",5,"749564.84877598",875250.815240429,"31665.7729260112","347913.430426889",1826534.58597278,"75062.7615535682",935961.291047286,512618.420196953,844271.105557175,2317934.49528834,"3511931.17683379","2032727.3683864",866916.740968864,"98250.173435327","188152.750937977",513994.592084981,2187224.14138091,3970802.42070287,"545348.906410589","856783.27187628","176619.934573159","47787.581883321","163828.964525933","150051.845908287","20543.5349242643",5237271.89949803,2401703.35325506,620162.871291908,561495.314272471,"54798.3608341763",95197.9139478578,1274365.05247901,1596318.64042504,158430.561020222,1134096.41325614,238203.951412383,1527457.94071171,"23936.6251607096","14994.0344538743",152273.00061326,145117.455523691,"24437.3541603657",394259.1324382,"82813.2338381773","77928.4403111271"
"",6,"586121.67964341",811230.302919799,"106983.621333128","538791.556096791",1388674.04142372,"194485.660141099",1039886.71804966,734268.756654015,1003486.27844572,1982548.89382319,"2771599.52182606","1561787.81953404",610555.107140726,"112869.794710405","248093.22988193",3373431.43761723,1169109.13552054,4354330.98213013,"1088258.46807207","1016095.73163282","331591.759139715","102201.415007795","105025.443445377","53310.1872104753","51825.9219532977",6080607.84064008,2379857.36642927,1184288.15402533,1224407.24974975,"31503.0684654685",139700.357599158,995331.720192984,2122244.55234247,169587.936720179,848952.477510745,372993.493694337,1339335.12708581,"13865.699939091","41046.3444387089",1686032.84244763,216046.746160213,"61779.6624922619",516527.454904844,"70659.848488482","240635.799985135"
"",7,"507267.43689403",768011.772807823,"Impute","109749.339119598",973873.972620648,"200443.463550436",623371.584891942,677554.969801789,551021.287445653,1800055.8933452,"2237126.94900114","Impute",601462.253787734,"<LOD","162067.228057792",1920208.41698425,1161526.12123664,2923452.28752247,"855940.498968295","765047.179628158","265622.067713492","123653.59410137","141463.808513657","15317.4652993357","35884.5090066345",4977313.73677567,2020398.85779587,651746.163680408,794622.569502298,"30958.3954464317",97233.7277792052,491684.905657824,1780687.31818058,99980.5418967217,667032.527931065,253426.906922673,1237962.76233223,"12236.1275163629","20259.1291708106",1591185.91985982,239294.131421014,"<LOD",523614.614678756,"59349.2054131012","183867.449294044"
"",8,"422613.463254201",602331.969670208,"Impute","138069.43208308",723247.712009526,"125959.664869594",766886.902090785,641372.850838159,563298.224052567,1731408.76845299,"1835578.56001008","Impute",562066.659567458,"<LOD","129142.744964726",1512836.83268309,1009254.34681585,2279611.0693308,"736600.136267585","596300.901869392","214377.03859949","47143.6335681402","159976.96361981","<LOD","44164.7786907357",4457559.51675867,1838325.86474346,1043965.54207185,1031719.82725834,"30657.9694970354",98956.7967606783,580924.948217286,1243750.61175221,79671.2921630716,659605.428721093,148396.659406295,1124019.06316466,"23935.5618119854","19767.3055616776",988869.164565399,131180.297780489,"11470.7410160059",501175.705823022,"49452.1211595218","151353.396701785"
"",9,"664626.634001943",1078148.77734464,"59096.238087906","270958.578807475",1900616.25364033,"185123.82329845",734409.770241692,852762.029491474,1380557.41251807,2481852.30058181,"3172686.70587037","Impute",1582600.3188239,"97273.8264850928","179747.922850087",1741356.23339315,1410468.56428981,2580627.59790808,"882741.553752074","683115.838057536","256895.365929783","43024.6110854412","123318.519128464","316806.633246493","56240.1842937494",6093455.1677264,2747043.20579652,900150.447189912,1384542.88814804,"46050.9954493822",99660.5871500021,1515996.94692918,2103236.78574508,125634.007693552,1475082.44377101,276072.336296063,1389018.03394607,"21187.0770716601","21886.0627773891",548279.047830947,222000.210076312,"49399.3419512961",481648.620369137,"66879.147244689","164616.015841788"
"",10,"220245.173186318",466107.603195681,"272814.186436596","160076.076512387",1344784.05484146,"43663.9768099688",1009674.08066257,231663.643746445,4565862.92185936,782648.094030326,"927404.36568339","862996.538914428",410108.36342367,"96755.4143287587","54159.6334033706",3660063.28377929,417552.929068102,1138553.35389665,"502412.080049618","213523.913242758","142494.533046261","27320.7745051964","63010.1832462916","1062768.63530408","70610.0288490769",2498154.68145376,1789064.13016173,114465.760760843,1112024.38324577,"92704.6362177596",65741.8623919741,1611277.81098788,1485310.35932932,318299.98070358,818820.481108206,36390.3019482383,1068578.69381399,"18269.4682907425","43072.17515498",993080.949560545,174782.445746762,"26651.0231163675",222824.008258175,"15042.9069720821","250962.183065851"
"",11,"516396.045759843",828138.850815742,"185639.278714283","161047.986417632",2103658.60090028,"178418.586636954",602408.735247439,485909.318479894,3065240.16845048,1705576.75506598,"Impute","555125.218237064",763438.142164961,"<LOD","75837.6715126805",2003126.31104607,1233967.93401584,2404068.91995726,"581482.032110917","622446.784990628","181691.334597319","32378.7111834219","29367.0907708551","504750.577855545","86095.4741103572",3889819.17790067,2339038.58572316,416493.266356607,1165061.14065486,"59991.7309060244",61016.3626236851,1465376.17890875,2229578.27039158,314767.289103958,1341207.75133478,66477.3419092993,1252738.88267599,"15424.3604383059","29927.5749395138",393638.147126736,525351.614858982,"35326.4963814557",299943.550170572,"64506.451880812","182346.395495546"
"",12,"407501.104206757",887704.776929468,"154203.060820149","302009.953046735",1389359.92482659,"151421.334627708",531712.802446322,376308.173505313,3711145.62196635,1411843.15002287,"Impute","655018.181175906",684402.043288687,"75236.2868133268","86531.6695156983",1268866.21214226,852844.773490764,1577167.56001789,"652940.046216955","999430.545577882","190344.821299273","<LOD","50823.1061306192","530397.423805982","118049.473139118",3666860.35404956,2400806.63695423,405598.459504352,952449.999145166,"60923.9135078533",62922.238271818,1822864.71196655,1920609.08767223,289994.362231748,1099898.97531222,84847.2670531902,1092624.64462487,"19394.8406606979","38866.6122548341",361819.182192792,171360.577464895,"47071.4968007259",584987.701500665,"35234.732218847","251279.47478425"
"",13,"464502.946966878",1537241.01141773,"64631.790804022","258315.69131113",2548702.01960557,"229593.044475133",1117605.12568747,799190.937612889,4857794.51086627,3408101.95049219,"Impute","1461193.82107187",1469474.5099861,"<LOD","130750.053825819",328362.826207898,1042036.5251591,1863555.92095163,"1364830.85276343","1097127.70931046","376412.88071821","<LOD","91997.1071700454","401507.805275285","94000.2048780496",5406867.17318938,4628260.42864842,423837.770099327,1233687.01807215,"60573.5058591638",74894.6025992346,2217882.47480451,2080140.5173989,335886.523536359,1688605.13241437,166328.593822435,1221112.28877821,"<LOD","48501.8468160196",585280.728607393,534839.759409168,"80257.3047977266",1092860.22109881,"51378.9105438555","167043.398881799"
"20230202_12_QCs_146b",1,"590954.367508963",648824.027527492,"74562.1229459402","241998.603440881",1364815.77245848,"135052.985320341",669876.634324635,766153.973606396,1037219.7766902,2133664.97181565,"3176633.79788295","1483150.65473341",1436241.53241758,"<LOD","161304.719230969",1362028.84585433,1349543.04070634,2980675.38802565,"828435.404986297","743269.231299186","238482.908061043","67057.9358726058","47380.79055507","302159.135084562","33823.0950658035",5298783.69590758,2579552.52121653,846502.92502618,796564.618207855,"39634.9166476418",68288.732722654,1252065.9305971,1913204.08622489,102767.945279931,1209991.3577464,211342.822752311,1256353.99862141,"22802.8125297301","30553.4771163586",266090.570040539,202264.811794955,"40590.3309309175",422480.622490102,"62383.1256716287","134488.449002826"
"",2,"613508.03479411",614018.333480855,"43715.071264722","220384.292123419",1517708.47547872,"140224.543301626",668817.866251712,754003.572203556,1176101.72703356,2119478.03952222,"2836444.30738103","1584550.61051528",1405974.73652475,"110994.57156568","132228.063745234",1312819.49927442,1362352.87013006,3031147.55639138,"802389.615876491","848206.58608076","239060.145782447","57250.0161514422","61635.1982846769","325219.134203771","20971.5579195467",5290947.94128591,2610105.98520532,864883.854283098,681436.405771263,"39097.7133926076",63662.8170013968,1219930.92711824,1927951.57894492,114099.820537247,1208274.23445073,219979.48965272,1224373.17364195,"23058.5549557177","35923.5776018022",268665.080144273,205160.687858937,"27965.528107862",419015.738364397,"67783.4931344107","144844.569675454"
"",3,"594509.547700715",596345.070880187,"54829.7138575344","230801.905252035",1717511.56524266,"172497.188857794",704256.432806558,761509.154911934,1151776.85538036,2148314.81230552,"2948499.66006159","1305032.43100708",1418538.50367793,"78793.4719459702","136178.630497279",1228004.47761704,1343506.13196235,2904972.87691068,"803771.60645381","784708.864283747","243770.433577884","53577.9182448255","82410.5598424015","335831.278674398","24628.9431533641",5321707.19561717,2642360.61203096,860538.454443646,646838.085361134,"<LOD",63776.9919887395,1276803.97055179,1907311.34631639,112963.455225637,1143738.24910535,215098.329877883,1240709.05810761,"22073.8820889144","18026.0404410002",468669.579331849,203987.383146224,"41059.068852526",425732.910629524,"65133.0106233242","151919.550017345"
"",4,"540437.084658804",770989.885128521,"55532.1428381211","221057.171488248",1681999.19105238,"164515.381768461",689404.507099414,748596.777662668,1076546.42145386,2026634.43262195,"2717558.96652313","Impute",1357799.53608309,"75250.5339983827","Impute",1354671.75825595,1267205.08809895,2844274.6664094,"787837.448844639","751592.009930412","245563.416452588","61959.9702808255","91909.922911748","285810.262344229","24889.2286490352",5040728.19688495,2477842.34413281,798765.228572491,698234.608096302,"30198.9266447542",54695.9020360653,1182597.78403377,1813568.65243309,98534.9862339562,962202.740304639,219793.638387096,1194253.98270568,"21781.2870369477","14716.9338929173",468751.96672373,204835.120905433,"41694.2883111211",395546.446629766,"61975.9712234674","143816.720467074"
"",5,"582789.877971146",928365.398933078,"55382.6638713794","202374.70359669",1685685.45832105,"166124.234209853",713882.08772838,740284.307506194,1105144.91551632,2074506.37952647,"2711303.06573446","Impute",1349145.12661319,"135082.672543539","154087.472304935",1454138.76472391,1231338.7280876,2788262.61114542,"864340.582168362","678770.646008893","252762.856464015","44912.8230799396","98550.1150735972","274926.457999896","30556.654002207",5108060.05102056,2451551.25118746,814797.475668997,691568.765090049,"45627.2918388576",65505.9013471607,1080770.76374687,1819197.81080155,101997.239913315,1018437.36067298,219738.980750643,1204568.17157029,"15483.2562073885","21467.4660738765",437849.895497413,199117.743091236,"29989.3502553962",413171.718165487,"68226.0054781224","140688.9450079"
"",6,"600301.716245448",991413.011410322,"54306.4186230447","215826.101303757",1697947.45257583,"186843.241317796",688960.755086884,784619.214520881,1096570.86686484,2260887.11168644,"2315816.00871566","Impute",1327245.47799627,"93703.7631934196","146841.29510982",1518675.71318909,1202925.01678522,1933815.3563621,"895768.029705859","652608.025471626","260093.167693349","56071.1010606558","93688.2812239946","309943.569864376","37051.7619703004",5492650.24300268,2487800.43369055,828897.054075029,687333.367710229,"33630.1257277833",51839.1892550457,1172969.14204433,1903037.39873595,109769.747974341,1005164.5512844,224437.626755903,1240630.13179442,"30563.7083375202","13240.7809886563",429525.117414159,201442.275121885,"29207.4004839852",438653.778172065,"74277.2116845093","148298.236669779"
"",7,"536575.655421135",923719.724939066,"46330.4801097861","191170.727924303",1569588.43706895,"127122.454147867",674405.207042475,723210.16159346,1039926.8868721,1985181.66729681,"2796713.8259085","Impute",1400139.07138455,"104690.952296838","166430.726863227",1397820.39560435,1144120.1057842,1710888.59989827,"816588.548075851","628434.722978739","238655.860497745","42152.5190835961","89084.9096048119","275322.192781715","37824.2705457797",4850853.43724392,2222365.44327027,775149.762421023,611340.76677919,"40745.2564304022",55812.0795508251,1028656.43824503,1760783.07522825,88486.8763719273,950286.140254061,187664.968981741,1160762.07313582,"20631.7452418894","17005.5562173041",413123.72868654,177522.491630092,"24745.8201328615",389429.98442131,"51652.1278291358","145839.106151579"
"",8,"518627.338800809",909322.248094887,"53312.2112825354","178281.549108711",1556216.49784307,"206121.024309679",675886.069317548,715313.633763868,1047475.60025458,2004621.86146513,"Impute","Impute",1403073.47214352,"84989.9516896598","141493.060591077",1438511.99427441,1078306.7082851,1867967.82335826,"807857.864600639","604260.852190547","223113.543544588","45929.8362723925","102591.106835914","299414.099315218","41826.9691718349",4990871.40925722,2133583.55821113,772495.386230912,1128557.08868469,"40373.8118129946",61233.739883276,1187146.97623224,1752100.22153876,119772.125236924,914650.568250952,214665.719915965,1171347.08353136,"18738.4907579674","24057.1275093694",433819.21552757,184363.054857297,"24977.362356907",419380.524148908,"63865.6023552366","134085.469666495"
"",9,"545463.736629142",931764.099992681,"56532.4111449519","201534.068305392",1674255.03958724,"209691.449464851",697258.600634754,744807.165307591,1285785.13717962,2115403.7967144,"Impute","Impute",1394602.5755524,"110643.66761241","164684.818414362",1534890.56374511,943085.478543557,2182911.37413214,"789183.444634336","582057.778902297","225924.748916239","56913.1695135991","79642.023038474","276078.454116765","33525.2780949649",5248593.98463627,2210606.37725212,839690.255151066,1158226.06479519,"46518.4235141976",94141.7371926395,1389377.03872253,1857863.5671489,107035.702235244,1255301.63195823,219596.968527379,1211612.01069213,"16010.0511648977","26119.9564251928",447121.808095825,203166.521559527,"38342.7970568712",433852.175272076,"60995.5982003576","150115.470863914"
"",10,"576606.418145615",920733.342233452,"65940.3808473654","231472.959669406",1599126.13684153,"221079.970015038",572565.460792107,725722.044587591,1218466.27034252,2099943.89482524,"Impute","1608759.3083209",1446418.45547068,"83136.6773788328","158204.606308502",1478685.77769914,712472.189277706,2191003.94687147,"817587.42885197","734572.785796566","257968.336817372","49046.7269771423","50988.3436242167","293869.974466503","45272.7788171459",5204505.89179358,2614021.34894932,815582.222312426,1156899.16799156,"44505.6741083829",84337.2939850676,1375476.73826559,1827911.41857112,113355.222839057,1302694.70247406,202035.730116901,1177702.95543421,"20068.7036177488","23478.5116041309",461135.583127557,182625.611335782,"29111.654747289",410087.52027588,"54516.9980707796","139087.563130381"
"",11,"550909.368867066",903620.135025659,"70819.0817616697","226489.875412085",1607592.54142662,"204877.752259652",599376.465646,696177.208442312,1164664.65889603,1986547.90930796,"Impute","1524184.41572485",1364086.99920864,"113995.660056938","161712.63689787",1256001.19132913,1185147.27003349,2123219.97335626,"758381.445338698","749601.147083718","248792.934365696","48393.1925964535","58793.3496162944","286051.884683464","39803.5155041341",4833145.90424067,2492285.25488653,768444.093337818,1131927.89801791,"39719.3197345357",91340.4931364385,1242034.59962865,1717207.22981843,106918.810863988,1290099.46544619,205584.033658294,1163804.46003877,"39597.7146969213","20112.3069654278",465771.647693754,175521.95937238,"72387.4735978395",392848.381223021,"60497.31187973","130341.138313724"
"",12,"589374.820337259",959832.835953035,"57074.2052618666","236538.127432574",1604474.65429983,"214354.589511786",635229.687765808,763379.097141348,1276026.00682236,2189382.59402482,"Impute","1777297.81251692",1487733.28709191,"88722.2299589723","185153.946575897",1256609.19924418,1298690.03764508,2279396.20985468,"747320.738021995","697378.721076449","239027.995368498","55414.9789195759","53314.8922233164","316102.926923423","32620.3747059489",5398711.00349721,2840921.87539479,855503.625844482,1215182.83089628,"40365.5802752889",80323.4013245654,1372198.15459962,1892180.31986882,107623.817466476,1437759.82223118,207732.974368949,1288629.8636817,"23138.9399743103","34433.1342747966",493466.193584212,186537.657372684,"96435.4605315233",438355.410245803,"64236.9837332147","144002.316596105"
